Plant_Code,Mold_Name,Item_Code,Full_Load
1900,C10R20JWJUH316GC03,1122110020016KH3PT,
1900,C10R20JWJUH316GC08,1122110020016KH3PT,
1900,C10R20JWJUH316GC11,1122110020016KH3PT,
1900,C10R20JWJUH516GC01,1122110020016KJH50,
1900,C10R20JWJUH516HM03,1122110020016KJH50,
1900,C10R20JUH509,1122110020016KUH50,
1900,C10R20JUH510,1122110020016KUH50,
1900,C10R20JUH511,1122110020016KUH50,
1900,C10R20JUH512,1122110020016KUH50,
1900,C10R20JUH513,1122110020016KUH50,
1900,C10R20JUH514,1122110020016KUH50,
1900,C10R20JUH515,1122110020016KUH50,
1900,C10R20JUH516,1122110020016KUH50,
1900,C10R20JUH517,1122110020016KUH50,
1900,C10R20JUH518,1122110020016KUH50,
1900,C10R20JUH5HM03,1122110020016KUH50,
1900,C10R20JUH5HM04,1122110020016KUH50,
1900,C10R20JUH5R05,1122110020016KUH50,
1900,C10R20JUH5R07,1122110020016KUH50,
1900,C10R20JUH5R08,1122110020016KUH50,
1900,C10R20JUH5R09,1122110020016KUH50,
1900,C10R20JWJUH516GC01,1122110020016KUH50,
1900,C10R20JWJUH516GC13,1122110020016KUH50,
1900,C10R20JWJUH516GR01,1122110020016KUH50,
1900,C10R20JWJUH516GR03,1122110020016KUH50,
1900,C10R20JWJUH516GR05,1122110020016KUH50,
1900,C10R20JWJUH516GR07,1122110020016KUH50,
1900,C10R20JWJUH516GR09,1122110020016KUH50,
1900,C10R20JWJUH516GR10,1122110020016KUH50,
1900,C10R20JWJUH516GR13,1122110020016KUH50,
1900,C10R20JWJUH516GR15,1122110020016KUH50,
1900,C10R20JWJUH516GR16,1122110020016KUH50,
1900,C10R20JWJUH516GR20,1122110020016KUH50,
1900,C10R20JWJUH516HM02,1122110020016KUH50,
1900,C10R20JWJUH516HM03,1122110020016KUH50,
1900,C10R20JWJUH516HM05,1122110020016KUH50,
1900,C10R20JWJUH516HM06,1122110020016KUH50,
1900,C10R20JWJUH516HM07,1122110020016KUH50,
